TÌtulo;Autor;ISBN;ISBN13;Rating;Formato;Numero de Paginas;Ano publicacao original;Data Inicio;Data TÈrmino; Coluna1 ;Idioma;Status;Carregado
The Seven Husbands of Evelyn Hugo;Taylor Jenkins Reid;"=""1501139231""";"=""9781501139239""";50;Livro FÌsico;389;2017;08/08/2026;16/08/2026; 8 ;PortuguÍs;lido;N„o
Death Row;Freida McFadden;"=""1662532261""";"=""9781662532269""";30;Kindle;74;2025;08/08/2026;08/08/2026; -   ;PortuguÍs;lido;N„o
The Teacher;Freida McFadden;"=""1728296218""";"=""9781728296210""";40;Livro FÌsico;379;2024;02/08/2026;08/08/2026; 6 ;PortuguÍs;lido;N„o
Inspired: How to Create Tech Products Customers Love;Marty Cagan;"=""1119387507""";"=""9781119387503""";40;Livro FÌsico;349;2008;04/05/2026;02/08/2026; 90 ;PortuguÍs;lido;N„o
A FELICIDADE NEGADA;Domenico de Masi;"=""972442605X""";"=""9789724426051""";40;Livro FÌsico;154;2022;26/04/2026;04/05/2026; 8 ;PortuguÍs;lido;N„o
O Homem InvisÌvel;H.G. Wells;"=""6550970032""";"=""9786550970031""";30;Livro FÌsico;176;1897;23/03/2026;26/04/2026; 34 ;PortuguÍs;lido;N„o
Factfulness: O h·bito libertador de sÛ ter opiniıes baseadas em fatos;Hans Rosling;"=""8501116521""";"=""9788501116529""";50;Livro FÌsico;360;2018;20/03/2026;23/03/2026; 3 ;PortuguÍs;lido;N„o
Noite sobre as ·guas ;Ken Follett;"=""8580415640""";"=""9788580415643""";40;Kindle;568;1991;08/03/2026;20/03/2026; 12 ;PortuguÍs;lido;N„o
Se N„o Fosse VocÍ;Colleen Hoover;"=""8501303860""";"=""9788501303868""";40;Livro FÌsico;400;2019;05/03/2026;08/03/2026; 3 ;PortuguÍs;lido;N„o
A arte de pensar claramente: Os erros de raciocÌnio que mais cometemos e como evit·-los para tomar boas decisıes ;Rolf Dobelli;"=""8543111617""";"=""9788543111612""";40;Kindle;397;2011;28/02/2026;05/03/2026; 5 ;PortuguÍs;lido;N„o
Dark Places;Gillian Flynn;"=""0297855875""";"=""9780297855873""";40;Kindle;368;2009;17/02/2026;28/02/2026; 11 ;PortuguÍs;lido;N„o
A guerra dos tronos (As crÙnicas de gelo e fogo, #1);George R.R. Martin;"=""8554513568""";"=""9788554513566""";50;Kindle;1137;1996;10/01/2026;17/02/2026; 38 ;PortuguÍs;lido;N„o
Eu, RobÙ;Isaac Asimov;"=""8576572036""";"=""9788576572039""";30;Kindle;277;1950;05/01/2026;10/01/2026; 5 ;PortuguÍs;lido;N„o
O segredo final (Robert Langdon, #6);Dan    Brown;"=""6555658401""";"=""9786555658408""";40;Kindle;876;2025;29/12/2025;05/01/2026; 7 ;PortuguÍs;lido;N„o
O resgate: A sequÍncia de A firma ;John Grisham;"=""6555656646""";"=""9786555656640""";30;Kindle;401;2023;27/12/2025;29/12/2025; 2 ;PortuguÍs;lido;N„o
Fogo & Sangue (A Targaryen History #1);George R.R. Martin;"=""8556510760""";"=""9788556510761""";40;Livro FÌsico;598;2018;12/12/2025;27/12/2025; 15 ;PortuguÍs;lido;N„o
Nunca: O caminho para a guerra comeÁa com um passo em falso;Ken Follett;"=""6555652578""";"=""9786555652574""";30;Livro FÌsico;624;2021;20/11/2025;12/12/2025; 22 ;PortuguÍs;lido;N„o
A ilha do Dr. Moreau;H.G. Wells;"=""6555520035""";"=""9786555520033""";20;Livro FÌsico;144;1896;10/11/2025;20/11/2025; 10 ;PortuguÍs;lido;N„o
A M·quina do Tempo;H.G. Wells;"=""6555520027""";"=""9786555520026""";40;Livro FÌsico;112;1895;02/11/2025;10/11/2025; 8 ;PortuguÍs;lido;N„o
Blink: A decis„o num piscar de olhos;Malcolm Gladwell;"=""8543103592""";"=""9788543103594""";30;Livro FÌsico;239;2005;27/10/2025;02/11/2025; 6 ;PortuguÍs;lido;N„o
De Quanta Terra Precisa um Homem? E Outras HistÛrias;Leo Tolstoy;"=""6555522372""";"=""9786555522372""";50;Livro FÌsico;96;1886;26/10/2025;27/10/2025; 1 ;PortuguÍs;lido;N„o
Gente Pobre;Fyodor Dostoevsky;"=""6555522283""";"=""9786555522280""";20;Livro FÌsico;160;1846;20/10/2025;26/10/2025; 6 ;PortuguÍs;lido;
The Boys from Biloxi;John Grisham;"=""0593470915""";"=""9780593470916""";30;Livro FÌsico;576;2022;20/09/2025;20/10/2025; 30 ;PortuguÍs;lido;
O Garoto do Colorado;Stephen  King;"=""8556512666""";"=""9788556512666""";30;Livro FÌsico;144;2005;16/09/2025;20/09/2025; 4 ;PortuguÍs;lido;
Livro das Mil e Uma Noites, Volume 02;Anonymous;"=""8525065056""";"=""9788525065056""";30;Livro FÌsico;400;800;27/08/2025;16/09/2025; 20 ;PortuguÍs;lido;
Fora de sÈrie;Malcolm Gladwell;"=""8575424483""";"=""9788575424483""";40;Livro FÌsico;288;2008;21/08/2025;27/08/2025; 6 ;PortuguÍs;lido;
Um Defeito de Cor;Ana Maria GonÁalves;"=""8501071757""";"=""9788501071750""";50;Livro FÌsico;952;2006;12/07/2025;21/08/2025; 40 ;PortuguÍs;lido;
Fahrenheit 451;Ray Bradbury;"=""8525052248""";"=""9788525052247""";20;Livro FÌsico;215;1963;09/07/2025;12/07/2025; 3 ;PortuguÍs;lido;
Conto de fadas;Stephen  King;"=""8556511570""";"=""9788556511577""";30;Livro FÌsico;624;2022;25/06/2025;09/07/2025; 14 ;PortuguÍs;lido;
O Homem de S„o Petersburgo;Ken Follett;"=""8580416353""";"=""9788580416350""";30;Livro FÌsico;326;1982;21/06/2025;25/06/2025; 4 ;PortuguÍs;lido;
Livro das Mil e Uma Noites, Volume 01;Anonymous;"=""8525065048""";"=""9788525065049""";40;Livro FÌsico;464;800;14/06/2025;21/06/2025; 7 ;PortuguÍs;lido;
How the World Really Works: The Science Behind How We Got Here and Where We're Going;Vaclav Smil;"=""0593297075""";"=""9780593297070""";30;Kindle;357;2022;17/05/2025;14/06/2025; 28 ;PortuguÍs;lido;
Sussurros do passado;Charlie Donlea;"=""6559576590""";"=""9786559576593""";30;Livro FÌsico;320;2024;10/05/2025;17/05/2025; 7 ;PortuguÍs;lido;
Xam„;Noah Gordon;"=""853250406X""";"=""9788532504067""";40;Livro FÌsico;488;1992;26/04/2025;10/05/2025; 14 ;PortuguÍs;lido;
A Primeira Segunda-Feira: ApÛs sua carreira executiva ;Flavia Perez;"=""8594553544""";"=""9788594553546""";20;Kindle;219;2025;25/04/2025;26/04/2025; 1 ;PortuguÍs;lido;
Gerenciamento De Ativos E Passivos;Dermine/Bissada;"=""8522474311""";"=""9788522474318""";30;Livro FÌsico;176;2002;21/04/2025;25/04/2025; 4 ;PortuguÍs;lido;
O Terceiro GÈmeo;Ken Follett;"=""9722362569""";"=""9789722362566""";40;Livro FÌsico;432;1996;18/04/2025;21/04/2025; 3 ;PortuguÍs;lido;
Uma quest„o de quÌmica;Bonnie Garmus;"=""""";"=""""";50;Livro FÌsico;384;2022;12/04/2025;18/04/2025; 6 ;PortuguÍs;lido;
Antes de Partir;Charlie Donlea;"=""6559572641""";"=""9786559572649""";30;Livro FÌsico;224;2022;08/04/2025;12/04/2025; 4 ;PortuguÍs;lido;
Comece pelo porquÍ: Como grandes lÌderes inspiram pessoas e equipes a agir;Simon Sinek;"=""854310663X""";"=""9788543106632""";30;Livro FÌsico;256;2009;01/04/2025;08/04/2025; 7 ;PortuguÍs;lido;
10 Days to Faster Reading;The Princeton Language Institute;"=""0446676675""";"=""9780446676670""";10;Livro FÌsico;206;2001;27/03/2025;01/04/2025; 5 ;PortuguÍs;lido;
Nexus;Yuval Noah Harari;"=""8535937811""";"=""9788535937817""";30;Livro FÌsico;504;2024;03/03/2025;27/03/2025; 24 ;PortuguÍs;lido;
O Fisico (Em Portugues do Brasil);Noah Gordon;"=""8532531261""";"=""9788532531261""";50;Livro FÌsico;592;1986;14/02/2025;03/03/2025; 17 ;PortuguÍs;lido;
Um Lugar Chamado Liberdade;Ken Follett;"=""8580413303""";"=""9788580413304""";30;Livro FÌsico;400;1995;08/02/2025;14/02/2025; 6 ;PortuguÍs;lido;
O Ponto da Virada: Como Pequenas Coisas Podem Fazer uma Grande DiferenÁa;Malcolm Gladwell;"=""8575424831""";"=""9788575424834""";30;Livro FÌsico;288;2000;12/01/2025;08/02/2025; 27 ;PortuguÍs;lido;
… a Ales;Jon Fosse;"=""8535935428""";"=""9788535935424""";20;Livro FÌsico;112;2004;11/01/2025;12/01/2025; 1 ;PortuguÍs;lido;
Olhos vazios ;Charlie Donlea;"=""6559576396""";"=""9786559576395""";30;Kindle;438;2023;07/01/2025;11/01/2025; 4 ;PortuguÍs;lido;
Diga ‡s abelhas que n„o estou mais aqui (Outlander, #9);Diana Gabaldon;"=""6555653779""";"=""9786555653779""";30;Livro FÌsico;1056;2021;17/11/2024;07/01/2025; 51 ;PortuguÍs;lido;
Memorial de Aires (Classicos Da Literatura Brasileira);Machado de Assis;"=""0850515181""";"=""9780850515183""";40;Livro FÌsico;124;1908;15/11/2024;17/11/2024; 2 ;PortuguÍs;lido;
Esa˙ e JacÛ;Machado de Assis;"=""8508131917""";"=""9788508131914""";30;Livro FÌsico;240;1904;06/11/2024;15/11/2024; 9 ;PortuguÍs;lido;
Uma vida pequena;Hanya Yanagihara;"=""8501071544""";"=""9788501071545""";40;Livro FÌsico;784;2015;28/10/2024;06/11/2024; 9 ;PortuguÍs;lido;
Escrito com o sangue do meu coraÁ„o (Outlander, #8);Diana Gabaldon;"=""6555650516""";"=""9786555650518""";40;Livro FÌsico;896;2014;14/10/2024;28/10/2024; 14 ;PortuguÍs;lido;
O ano do pensamento m·gico;Joan Didion;"=""6555111208""";"=""9786555111200""";40;Livro FÌsico;240;2005;04/10/2024;14/10/2024; 10 ;PortuguÍs;lido;
Ecos do futuro (Outlander #7);Diana Gabaldon;"=""8580419646""";"=""9788580419641""";30;Livro FÌsico;912;2009;03/09/2024;04/10/2024; 31 ;PortuguÍs;lido;
A Filha Perdida;Elena Ferrante;"=""8551000322""";"=""9788551000328""";30;Livro FÌsico;176;2006;01/09/2024;03/09/2024; 2 ;PortuguÍs;lido;
HistÛria da menina perdida (Tetralogia Napolitana, #4);Elena Ferrante;"=""6558301962""";"=""9786558301967""";50;Livro FÌsico;488;2014;25/08/2024;01/09/2024; 7 ;PortuguÍs;lido;
HistÛria de quem foge e de quem fica (Tetralogia Napolitana, #3);Elena Ferrante;"=""655830192X""";"=""9786558301929""";50;Livro FÌsico;424;2013;19/08/2024;25/08/2024; 6 ;PortuguÍs;lido;
HistÛria do novo sobrenome (Tetralogia Napolitana, #2);Elena Ferrante;"=""6558301938""";"=""9786558301936""";50;Livro FÌsico;480;2012;11/08/2024;19/08/2024; 8 ;PortuguÍs;lido;
A amiga genial (Tetralogia Napolitana, #1);Elena Ferrante;"=""6558301911""";"=""9786558301912""";40;Livro FÌsico;340;2011;05/08/2024;11/08/2024; 6 ;PortuguÍs;lido;
Recurs„o;Blake Crouch;"=""8551005367""";"=""9788551005361""";40;Livro FÌsico;320;2019;03/08/2024;05/08/2024; 2 ;PortuguÍs;lido;
Onde os velhos n„o tÍm vez;Cormac McCarthy;"=""8556522068""";"=""9788556522061""";30;Livro FÌsico;256;2005;26/07/2024;03/08/2024; 8 ;PortuguÍs;lido;
Um sopro de neve e cinzas (Outlander, #6);Diana Gabaldon;"=""8580418054""";"=""9788580418057""";30;Livro FÌsico;1168;2005;29/06/2024;26/07/2024; 27 ;PortuguÍs;lido;
Orgulho e preconceito ;Jane Austen;"=""8556710174""";"=""9788556710178""";40;Livro FÌsico;242;1813;23/06/2024;29/06/2024; 6 ;PortuguÍs;lido;
Viagem ao Centro da Terra;Jules Verne;"=""8594318154""";"=""9788594318152""";30;Livro FÌsico;304;1864;20/06/2024;23/06/2024; 3 ;PortuguÍs;lido;
A HistÛria do Universo para quem tem pressa: Do Big Bang ‡s mais recentes descobertas da astronomia!;Colin Stuart;"=""8558890773""";"=""9788558890779""";40;Kindle;240;2018;15/06/2024;20/06/2024; 5 ;PortuguÍs;lido;
O estilo Disney;Bill  Capodagli;"=""8557171137""";"=""9788557171138""";30;Kindle;388;1998;02/06/2024;15/06/2024; 13 ;PortuguÍs;lido;
Holly (Holly Gibney, #3);Stephen  King;"=""8556511929""";"=""9788556511928""";40;Livro FÌsico;448;2023;26/05/2024;02/06/2024; 7 ;PortuguÍs;lido;
MENSAGEIRO DAS ESTRELAS;Tyson Neil deGrasse;"=""6555876697""";"=""9786555876697""";50;Livro FÌsico;368;2022;18/05/2024;26/05/2024; 8 ;PortuguÍs;lido;
Notre-Dame: A histÛria de uma catedral;Ken Follett;"=""""";"=""""";30;Kindle;64;2019;18/05/2024;18/05/2024; -   ;PortuguÍs;lido;
Lean Inception: Como alinhar pessoas e construir o produto certo;Paulo Caroli;"=""8594377061""";"=""9788594377067""";30;Livro FÌsico;159;2018;18/05/2024;18/05/2024; -   ;PortuguÍs;lido;
Raz„o e Sensibilidade;Jane Austen;"=""8595200998""";"=""9788595200999""";30;Livro FÌsico;355;1811;04/05/2024;18/05/2024; 14 ;PortuguÍs;lido;
Tereza Batista Cansada de Guerra;Jorge Amado;"=""8535912916""";"=""9788535912913""";40;Livro FÌsico;472;1972;27/04/2024;04/05/2024; 7 ;PortuguÍs;lido;
